EFCZ	Monocots	Monocots
EFMS	Pinales	Gymnosperms
EGLZ	Pinales	Gymnosperms
EGNB	prasinophytes Scourfieldiales	Chlorophyta
EGOS	CoreEudicots Caryophyllales	Caryophyllales
EHNF	BasalEudicots	Eudicots
EILE	CoreEudicots/Rosids	Rosids
EJBY	CoreEudicots/Asterids	Asterids
EJCM	CoreEudicots/Asterids	Asterids
EMAL	CoreEudicots/Asterids	Asterids
EMBR	CoreEudicots/Asterids	Asterids
EMJJ	Monocots	Monocots
ENAU	Chlorophyceae	Chlorophyta
ENQF	Lycophytes	Lycophytes
EQDA	CoreEudicots/Asterids	Asterids
EQYT	CoreEudicots/Rosids	Rosids
ERIA	CoreEudicots Saxifragales	Eudicots
ERWT	CoreEudicots/Asterids	Asterids
ETCJ	Pinales	Gymnosperms
ETGN	Trebouxiophyceae	Chlorophyta
EVOD	BasalEudicots Ranunculales	Eudicots
EWXK	LeptosporangiateMonilophytes	Monilophytes
EYKJ	CoreEudicots/Asterids	Asterids
EYRD	CoreEudicots Caryophyllales	Caryophyllales
EZGR	CoreEudicots Caryophyllales	Caryophyllales
EZZT	CoreEudicots/Rosids	Rosids
Elagu_v2.0	Monocots	Monocots
Eucgr_v1.1	CoreEudicots/Rosids	Rosids
FAJB	Hornworts	Hornworts
FAKD	BasalEudicots	Eudicots
FALI	Magnoliids	Magnoliids
FAMO	CoreEudicots/Asterids	Asterids
FCBJ	CoreEudicots Saxifragales	Eudicots
FCCA	CoreEudicots/Rosids	Rosids
FCEL	Monocots	Monocots
FCHS	LeptosporangiateMonilophytes	Monilophytes
FDMM	CoreEudicots/Asterids	Asterids
FEDW	CoreEudicots/Rosids	Rosids
FFFY	CoreEudicots/Asterids	Asterids
FFGR	Zygnemophyceae	Streptophyte Algae
FFPD	Mosses	Mosses
FGDU	CoreEudicots/Rosids	Rosids
FGRF	Monocots	Monocots
FHST	Pinales	Gymnosperms
FIDQ	Chromista	Chromista
FIKG	Chromista	Chromista
FLTD	LeptosporangiateMonilophytes	Monilophytes
FMVB	Chlorodendrales	Chlorophyta
FMWZ	Pinales	Gymnosperms
FNEN	CoreEudicots/Asterids	Asterids
FOMH	Chromista	Chromista
FOYQ	Chlorophyceae	Chlorophyta
FPCO	Klebsormidiophyceae	Streptophyte Algae
FQGQ	LeptosporangiateMonilophytes	Monilophytes
FQLP	Klebsormidiophyceae	Streptophyte Algae
FROP	CoreEudicots/Asterids	Asterids
FRPM	Pinales	Gymnosperms
FSQE	Chromista	Chromista
FTRP	Rhodophyta	Rhodophyta
FUMQ	CoreEudicots/Asterids	Asterids
FUPX	CoreEudicots/Asterids	Asterids
FVXD	CoreEudicots Caryophyllales	Caryophyllales
FWBF	CoreEudicots/Asterids	Asterids
FWCQ	CoreEudicots/Rosids	Rosids
FXGI	CoreEudicots/Asterids	Asterids
FXHG	Chlorophyceae	Chlorophyta
FYSJ	CoreEudicots Caryophyllales	Caryophyllales
FYTP	CoreEudicots Saxifragales	Eudicots
FYUH	CoreEudicots/Asterids	Asterids
FZJL	BasalAngiosperms	Basal Angiosperms
FZQN	CoreEudicots Caryophyllales	Caryophyllales
GAMH	Pinales	Gymnosperms
GANB	LeptosporangiateMonilophytes	Monilophytes
GAON	Lycophytes	Lycophytes
GBGT	Zygnemophyceae	Streptophyte Algae
GBVZ	BasalEudicots Ranunculales	Eudicots
GCFE	CoreEudicots/Asterids	Asterids
GCYL	CoreEudicots Caryophyllales	Caryophyllales
GDKK	Monocots	Monocots
GDZS	CoreEudicots/Asterids	Asterids
GEHT	CoreEudicots/Rosids	Rosids
GETL	CoreEudicots/Asterids	Asterids
GFUR	Chlorophyceae	Chlorophyta
GGEA	Pinales	Gymnosperms
GGJD	CoreEudicots/Asterids	Asterids
GGWH	Zygnemophyceae	Streptophyte Algae
GHLP	CoreEudicots/Asterids	Asterids
GIOY	CoreEudicots/Asterids	Asterids
GIPR	CoreEudicots/Asterids	Asterids
GIWN	CoreEudicots Caryophyllales	Caryophyllales
GJIY	Ulvophyceae	Chlorophyta
GJNX	CoreEudicots Caryophyllales	Caryophyllales
GJPF	Monocots	Monocots
GKAG	Lycophytes	Lycophytes
GKCZ	Pinales	Gymnosperms
GLVK	CoreEudicots/Rosids	Rosids
GMHZ	Pinales	Gymnosperms
GNPX	CoreEudicots/Asterids	Asterids
GNQG	Cycadales Cycadales	Gymnosperms
GNRI	CoreEudicots/Asterids	Asterids
GOWD	Mosses	Mosses
GRFT	CoreEudicots/Asterids	Asterids
GRKU	Mosses	Mosses
GRRW	BasalEudicots	Eudicots
GSXD	LeptosporangiateMonilophytes	Monilophytes
GSZA	CoreEudicots/Asterids	Asterids
GTHK	Gnetales	Gymnosperms
Gnemo_v1.0	Gnetales	Gymnosperms
GTSV	CoreEudicots/Rosids	Rosids
GUBD	Chlorophyceae	Chlorophyta
GUMF	CoreEudicots/Asterids	Asterids
GVCB	CoreEudicots/Rosids	Rosids
GXBM	Trebouxiophyceae	Chlorophyta
GYBH	Ulvophyceae	Chlorophyta
GYFU	LeptosporangiateMonilophytes	Monilophytes
GYRP	Zygnemophyceae	Streptophyte Algae
HABV	CoreEudicots/Rosids	Rosids
HAEU	BasalEudicots	Eudicots
HANM	CoreEudicots/Asterids	Asterids
HAOX	Zygnemophyceae	Streptophyte Algae
HATH	Monocots	Monocots
HBGV	Pinales	Gymnosperms
HBHB	CoreEudicots/Rosids	Rosids
HBUQ	CoreEudicots/Rosids	Rosids
HDSY	CoreEudicots Caryophyllales	Caryophyllales
HDWF	CoreEudicots/Rosids	Rosids
HEGQ	LeptosporangiateMonilophytes	Monilophytes
HENI	CoreEudicots/Rosids	Rosids
HERT	Liverworts	Liverworts
HFIK	Chromista	Chromista
HGSM	CoreEudicots/Asterids	Asterids
HHXJ	Chlorodendrales	Chlorophyta
HIDG	Zygnemophyceae	Streptophyte Algae
HILW	Pinales	Gymnosperms
HJMP	CoreEudicots/Rosids	Rosids
HKMQ	CoreEudicots/Rosids	Rosids
HKZW	Zygnemophyceae	Streptophyte Algae
HLJG	CoreEudicots/Asterids	Asterids
HMHL	Liverworts	Liverworts
HNCF	CoreEudicots/Rosids	Rosids
HNDZ	LeptosporangiateMonilophytes	Monilophytes
HOKG	Monocots	Monocots
HPXA	Liverworts	Liverworts
HQOM	Pinales	Gymnosperms
